student,grp,take_exam,social,gender,pretest,posttest,exam,Fi,CBi,Vi,MApi,PApi
user0286,G153,1,0,1,0.55, ,86,0.67,0.75,0.73,0.89,0.89
user0293,G153,1,0,1,0,0.64,93,0.5,0.5,0.53,0.78,0.67
user0319,G153,1,0,1,0.09,0.27,43,0.83,0.5,0.6,0.78,0.83
user0337,G153,1,0, , ,0.55,88, , , , , 
user0323,G153,1,0,1,0.27,0.64,89,0.58,0.45,0.73,0.72,0.17
user0253,G153,1,0,1,0.09,0.18,58,0.58,0.7,0.67,0.56,0.44
user0277,G153,1,0,0,0.09,0.18,76,0.5,0.25,0.67,0.44,0.17
user0278,G153,1,0,0,0,0.45,92,0.67,0.4,0.67,0.72,0.61
user0304,G153,1,0,1,0.36,0.73,97,0.58,0.45,0.67,0.67,0.56
user0310,G153,1,0,0,0.18,0.64,81,0.5,0.45,0.6,0.5,0.33
user0320,G153,1,0,0,0.18,1,98,0.42,0.15,1,0.5,0.28
user0327,G153,1,0,1,0.64, ,84,0.42,0.6,0.8,0.67,0.67
user0282,G153,1,0,1,0.18,0.55,69,0.42,0.5,0.6,0.56,0.67
user0333,G153,1,0,1,0.45,0.45,94,0.5,0.4,0.87,0.56,0.72
user0299,G153,1,0,1,0.27,0.91,97,0.58,0.8,0.6,0.61,0.67
user0315,G153,1,0,1,0.45,0.73,90,0.67,0.55,0.8,0.61,1
user0316,G153,1,0,0,0.27,0.73,89,0.5,0.4,0.93,0.61,0.83
user0326,G153,1,0,1,0.18,0.82,69,0.58,0.4,0.73,0.72,0.67
user0294,G153,1,0,0,0.09, ,57,0.67,0.7,0.73,1,0.67
user0264,G153,1,0,0,0.09,0.09,70,0.67,0.6,0.67,0.78,0.78
user0271,G153,1,0,1,0.18,0.73,93,0.58,0.55,0.87,0.78,0.78
user0285,G153,1,0,1,0.18,0.45,89,0.58,0.2,0.6,0.78,0.83
user0305,G153,1,0,1,0.55,0.91,92,0.33,0.75,0.6,0.78,0.83
user0255,G153,1,0,1,0.27, ,81,0.67,0.65,0.8,0.67,0.28
user0270,G153,1,0,1,0.36, ,87,0.5,0.4,0.53,0.56,0.17
user0289,G153,1,0,0,0.27, ,90,0.5,0.45,0.67,0.33,0.5
user0257,G153,1,0,1,0.09,0.73,93,0.58,0,0.6,0.72,0.17
user0265,G153,1,0,1,0.18,0.27,89,0.5,0.55,0.67,0.72,0.61
user0280,G153,1,0,1,0, ,45,0.58,0.5,0.8,0.72,0.56
user0302,G153,1,0,0,0.09,0.55,94,0.58,0.55,0.53,0.61,0.5
user0272,G153,1,0,1,0.27,1,94,0.67,0.35,0.67,0.61,0.56
user0273,G153,1,0,1,0,0.55,93,0.5,0.15,0.53,0.56,0.61
user0324,G153,1,0,0,0.18,0.55,95,0.58,0.5,0.73,0.72,0.39
user0254,G153,1,0,1,0.27, ,98,0.83,0.85,0.93,0.94,0.5
user0292,G153,1,0,1,0.73, ,87,0.67,0.7,1,0.83,0
user0268,G153,1,0,1,0.09,0.55,88,1,0.6,1,0.94,0.61
user0298,G153,1,0,1,0,0.27,86,0.33,0.4,0.4,0.83,0.5
user0281,G153,1,0,0,0.18,0.64,94,0.75,0.3,0.73,0.94,0.61
user0290,G153,1,0,1,0.27, ,91,0.58,0.6,0.73,0.56,0.72
user0295,G153,0,0,1,0.73, ,-1,0.58,0.85,1,0.61,0.67
user0276,G153,1,0,0,0.18,0.82,100,0.5,0.4,0.6,0.56,0.67
user0279,G153,1,0,1,0.27,0.55,96,0.58,0.3,0.67,0.72,0.67
user0300,G153,1,0,1,0.73,0.73,79,0.67,0.8,0.67,0.72,0.83
user0313,G153,0,0,1,0.18, ,-1,0.67,0.85,0.8,0.94,0.83
user0262,G153,1,0,1,1,1,96,0.75,1,0.67,1,1
user0274,G153,1,0,1,1,0.91,99,0.83,1,0.93,1,1
user0322,G153,1,0,1,0.09,0.82,94,0.67,0.45,0.87,0.83,0.78
user0439,G154,1,0, , , ,80, , , , , 
user0422,G154,1,0, ,0.91,0.64,84, , , , , 
user0465,G154,0,1, , , ,-1, , , , , 
user0430,G154,1,0,1,0.09, ,85,0.5,0.45,0.67,0.5,0
user0433,G154,0,0,1,0, ,-1,0.42,0.25,0.33,0.5,0.5
user0456,G154,0,0,1,0, ,-1,0.42,0.35,0.67,0.5,0.11
user0459,G154,0,0,1,0.09, ,-1,0.42,0.25,0.73,0.33,0.22
user0378,G154,1,0,1,0.27,0.64,84,0.58,0.6,0.67,0.61,0.5
user0382,G154,1,0,1,0.09,0.73,90,0.5,0.45,0.67,0.44,0.39
user0388,G154,1,0,1,0,0.73,95,0.5,0.65,0.6,0.5,0.5
user0398,G154,1,0,1,0.09,0.27,82,0.58,0.4,0.67,0.72,0.56
user0418,G154,1,0,1,0.36,0.36,70,0.42,0.5,0.6,0.67,0.5
user0421,G154,1,0,1,0,0.45,87,0.5,0.3,0.67,0.5,0.44
user0424,G154,1,0,1,0.73,0.09,95,0.5,0.75,0.8,0.5,0
user0431,G154,1,0,0,0.09,0.45,99,0.5,0.55,1,0.61,0.5
user0429,G154,1,0,0,0.18,0.73,85,0.67,0.05,0.53,0.67,0.33
user0386,G154,1,0,0,0.09, ,87,0.58,0.2,0.8,0.78,0
user0405,G154,1,0,1,0.45, ,66,0.5,0.8,0.93,0.78,0
user0414,G154,0,0,1,0.27, ,-1,0.83,0.5,0.87,0.89,0
user0437,G154,1,0,1,0.36,0.91,86,1,1,1,1,0
user0449,G154,0,0,1,0.09, ,-1,0.67,0.45,0.93,0.89,0.5
user0458,G154,0,0,1,0.45, ,-1,0.58,0.8,0.8,0.83,0.33
user0446,G154,1,0,1,0.18,0.36,95,0.58,0.55,0.73,0.94,0.33
user0399,G154,1,0,1,0.18,0.36,85,0.5,0.7,0.53,0.94,0.33
user0428,G154,1,0,0,0,0.55,80,0.5,0.4,0.53,0.78,0.56
user0391,G154,0,0,1,0.09, ,-1,0.58,0.5,0.67,0.61,0.67
user0407,G154,1,0,1,0.45, ,92,0.83,0.55,0.8,0.72,0.72
user0444,G154,0,0,1,0.27, ,-1,0.58,0.5,0.6,0.67,0.78
user0460,G154,1,0,1,0.09, ,90,0.5,0.2,0.67,0.72,0.67
user0419,G154,1,0,1,0.27,0.36,85,0.5,0.5,0.87,0.72,0.67
user0440,G154,1,0,1,0.18,0.27,58,0.58,0.25,0.67,0.72,0.72
user0454,G154,1,0,1,0.09,0.27,37,0.33,0.25,0.53,0.44,0.72
user0453,G154,1,0,1,0.09,0.82,98,0.5,0.15,0.53,0.67,0.72
user0457,G154,1,0,1,0.27,0.91,97,0.5,0.5,0.53,0.67,0.67
user0393,G154,0,0,1, , ,-1,0.58,0.6,0.8,0.83,0.72
user0410,G154,1,0,1,0.55, ,89,0.67,0.85,0.67,0.83,0.89
user0412,G154,1,0,1,0.36, ,86,0.5,0.95,0.73,0.94,0.67
user0427,G154,1,0,0,0.09, ,76,0.67,0.3,1,0.94,0.89
user0447,G154,0,0,1,0.27, ,-1,0.67,0.55,0.87,0.83,0.67
user0462,G154,1,0, , ,0.82,60, , , , , 
user0463,G154,1,0, , ,1,97, , , , , 
user0392,G154,1,0,1,0.55,0.55,98,0.5,0.6,0.87,0.61,0.17
user0434,G154,1,0,1,0.55,0.55,82,0.58,0.1,0.8,0.5,0.61
user0380,G154,1,0,1,0.18,0.91,95,0.58,0.6,1,0.67,0.5
user0385,G154,1,0,0,0.09,0.55,51,0.58,0.15,0.47,0.67,0.44
user0408,G154,1,0,1,0.09,0.91,92,0.67,0.5,0.67,0.56,0.5
user0435,G154,1,0,0,0.09,1,90,0.5,0.4,0.53,0.61,0.5
user0436,G154,1,0,1,0.36,0.82,82,0.33,0.3,0.47,0.28,0.17
user0448,G154,1,0,0,0,0.64,72,0,0.3,0.4,0.56,0.28
user0451,G154,1,0,1,0.09,0.45,72,0.25,0.1,0.6,0.33,0.28
user0426,G154,1,0,1,0.18,0.91,49,0.33,0.35,0.53,0.78,0.44
user0445,G154,1,0,1,0.18,0.91,64,0.58,0.4,0.6,0.89,0
user0438,G154,1,0,1,0.09,0.18,64,0.58,0.55,0.6,0.67,0.83
user0401,G154,1,0,1,0.09,0.64,81,0.33,0.3,0.6,0.72,0.78
user0413,G154,0,0,1,0.09, ,-1,0.67,0.45,1,1,1
user0402,G154,1,0,1,0.18,0.45,94,0.83,0.95,1,0.78,0.83
user0441,G154,1,0,1,0.45,1,73,0.5,0.1,0.67,0.78,0.67
user0443,G154,1,0,1,0.18,0.55,82,0.5,0.15,0.8,0.78,0.67
user0406,G154,1,0,1,0.73,0.91,76,0.58,0.35,0.67,0.89,1
user0409,G154,1,0,1,0.18,0.36,87,0.67,0.25,0.53,0.83,0.72
user0461,G154,1,0, ,0.82,0.82,88, , , , , 
user0416,G154,1,0,1,0.18, ,83,0.33,0.2,0.6,0.61,0.56
user0455,G154,0,0,1,0, ,-1,0.67,0,1,0.61,0
user0415,G154,1,0,1,0.09,0,98,0.58,0.35,0.73,0.67,0.61
user0442,G154,1,0,1,0.64,0.73,91,0.58,0.75,0.6,0.67,0.17
user0450,G154,1,0,1,0.09,0.18,77,0.17,0.45,0.33,0.44,0.39
user0381,G154,1,0,1,0.18, ,92,0.5,0.3,0.47,0.44,0.56
user0396,G154,1,0,1,0.18,0.82,93,0.67,0.5,0.73,0.67,0.5
user0397,G154,1,0,0,0.18,0.82,81,0.25,0.55,0.6,0.67,0.61
user0403,G154,1,0,0,0.18,0.73,91,0.58,0.4,0.67,0.67,0.39
user0411,G154,1,0,1,0.09,0.64,97,0.5,0.5,0.67,0.5,0.33
user0423,G154,1,0,0,0.36,0.64,94,0.83,0.85,0.73,0.72,0.56
user0452,G154,1,0,1,0.09,0.82,76,0.67,0.5,0.53,0.67,0.39
user0395,G154,1,0,1,0.27, ,91,0.67,0.65,0.87,0.78,0.17
user0417,G154,1,0,0,0.18,0.91,89,0.67,0.9,0.6,1,0.39
user0394,G154,1,0,0,0.18,0.64,91,0.5,0.4,0.67,0.67,0.78
user0387,G154,1,0,1,0.27,0.82,98,0.5,0.35,0.6,0.72,0.72
user0404,G154,1,0,1,0.09,0.73,89,0.5,0.4,0.67,0.67,0.83
user0390,G154,1,0,1,1, ,90,1,0.8,1,0.89,0.72
user0432,G154,0,0,1,0.18, ,-1,0.58,0.65,0.73,0.83,0.94
user0400,G154,1,0,1,0.18,0.82,64,0.42,0.75,1,0.89,0.78
user0379,G154,1,0,1,0.45,1,98,0.75,0.9,1,0.89,0.83
user0383,G154,1,0,1,0.18,0.45,45,0.67,0.6,0.6,0.78,0.83
